--------------------
BDMEP - INMET
--------------------
Estação           : CURITIBA - PR (OMM: 83842)
Latitude  (graus) : -25.43
Longitude (graus) : -49.26
Altitude  (metros): 923.50
Estação Operante
Inicio de operação: 01/01/1911
Periodo solicitado dos dados: 01/01/1980 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83842;13/10/1980;1200;;;11.2;;;;;;
83842;14/10/1980;0000;;19;;3.8;1.9;13.5;82.25;2.7;
83842;14/10/1980;1200;0.1;;11;;;;;;
83842;15/10/1980;0000;;19.8;;6.6;1.4;14.26;83.25;3.6;
83842;15/10/1980;1200;0;;11;;;;;;
83842;16/10/1980;0000;;21.2;;9.2;1.9;15.26;81.5;3.9;
83842;16/10/1980;1200;0;;10.4;;;;;;
83842;18/10/1980;0000;;29;;5.1;2.9;22.14;63.75;1.933333;
83842;18/10/1980;1200;0;;14.7;;;;;;
83842;19/10/1980;0000;;28.7;;6.7;5.1;18.9;83.25;2.733333;
83842;19/10/1980;1200;6.5;;14.3;;;;;;
83842;21/10/1980;0000;;29.6;;2.5;4.5;23.28;64.75;2.133333;
83842;21/10/1980;1200;0;;16;;;;;;
83842;22/10/1980;0000;;29.6;;3;6.3;21.28;76;4.966667;
83842;22/10/1980;1200;0;;17;;;;;;
83842;24/10/1980;0000;;17.3;;0;0.9;13.52;88.75;2.866667;
83842;24/10/1980;1200;0;;11;;;;;;
83842;25/10/1980;0000;;26.3;;6.6;1.2;18.12;83.25;1.733333;
83842;25/10/1980;1200;0;;12.5;;;;;;
83842;26/10/1980;0000;;30;;6.7;1.8;22.34;74.25;1.233333;
83842;26/10/1980;1200;0;;16;;;;;;
83842;27/10/1980;0000;;30.2;;4.3;3.5;21.48;78.25;1.566667;
83842;27/10/1980;1200;0;;16.8;;;;;;
83842;29/10/1980;0000;;26.7;;4.3;2.4;21.42;76.25;1.833333;
83842;29/10/1980;1200;0;;15.8;;;;;;
83842;01/11/1980;0000;;15.7;;1.5;4.3;11.98;83.5;2.733333;
83842;01/11/1980;1200;0;;9.6;;;;;;
83842;03/11/1980;0000;;23.6;;6.7;1.9;16.84;82.75;2.166667;
83842;03/11/1980;1200;0;;11.6;;;;;;
83842;04/11/1980;0000;;22.4;;9.3;2;17.28;77.25;4.533333;
83842;04/11/1980;1200;0;;13.9;;;;;;
83842;05/11/1980;0000;;26.4;;7.5;2.7;19.34;78.25;2.966667;
83842;05/11/1980;1200;0;;14.2;;;;;;
83842;06/11/1980;0000;;27.5;;5.2;2.4;21.02;73.75;5.733333;
83842;06/11/1980;1200;0;;17.2;;;;;;
83842;08/11/1980;0000;;26.6;;2.1;5.4;20.1;89;3.233333;
83842;08/11/1980;1200;0;;17.2;;;;;;
83842;10/11/1980;0000;;23.6;;2.5;3.2;18.84;84.5;2.666667;
83842;10/11/1980;1200;0;;16;;;;;;
83842;11/11/1980;0000;;18.2;;0;1.8;15.12;89.75;2.666667;
83842;11/11/1980;1200;0.2;;13.9;;;;;;
83842;12/11/1980;0000;;16.2;;0.3;1.3;13.7;85;2.966667;
83842;12/11/1980;1200;0.2;;12.2;;;;;;
83842;13/11/1980;0000;;21.3;;8.5;1.3;15.52;77.25;4.3;
83842;13/11/1980;1200;0;;12.2;;;;;;
83842;14/11/1980;0000;;22.5;;11.6;2.1;15.82;73;1.966667;
83842;14/11/1980;1200;0;;10.3;;;;;;
83842;15/11/1980;0000;;22.8;;11.8;2.7;15.86;70.75;3.133333;
83842;15/11/1980;1200;0;;11;;;;;;
83842;16/11/1980;0000;;26.3;;8.4;2.5;18.34;69.25;1.333333;
83842;16/11/1980;1200;0;;11.4;;;;;;
83842;17/11/1980;0000;;20;;0.3;3.7;15.8;86.25;3.933333;
83842;17/11/1980;1200;0;;14;;;;;;
83842;18/11/1980;0000;;21.3;;10.8;1.9;16.44;79;4.133333;
83842;18/11/1980;1200;0;;12.8;;;;;;
83842;19/11/1980;0000;;20.6;;0.1;2.2;17.04;89.75;1.533333;
83842;19/11/1980;1200;0;;13.3;;;;;;
83842;20/11/1980;0000;;27.4;;2.2;1.8;20.58;79.5;2.366667;
83842;20/11/1980;1200;0.2;;14.6;;;;;;
83842;21/11/1980;0000;;26.3;;6.7;2.7;20.22;77.75;3.266667;
83842;21/11/1980;1200;0.1;;16.4;;;;;;
83842;22/11/1980;0000;;24.6;;1.7;3;20.02;83.5;2.3;
83842;22/11/1980;1200;0;;16.6;;;;;;
83842;25/11/1980;0000;;23.2;;1.1;1.2;17.24;84.25;1.433333;
83842;25/11/1980;1200;0;;14.6;;;;;;
83842;27/11/1980;0000;;24.4;;12.2;3;16.3;74.5;2.733333;
83842;27/11/1980;1200;0;;10;;;;;;
83842;28/11/1980;0000;;22.4;;5.1;3.7;17.46;81.75;4.7;
83842;28/11/1980;1200;0;;14.3;;;;;;
83842;30/11/1980;0000;;23.6;;0.6;1.2;19.44;89;2.133333;
83842;30/11/1980;1200;2.4;;16.3;;;;;;
83842;04/12/1980;0000;;23.5;;4.4;3.2;19.9;84.5;2.233333;
83842;04/12/1980;1200;1.1;;17.1;;;;;;
83842;07/12/1980;0000;;27.6;;7;3.3;20.8;84.25;2.033333;
83842;07/12/1980;1200;0.2;;17.1;;;;;;
83842;09/12/1980;0000;;28;;9.1;2.2;21.48;77.25;1.966667;
83842;09/12/1980;1200;0;;17.8;;;;;;
83842;10/12/1980;0000;;30.1;;10.2;3.2;20.82;78.75;2.733333;
83842;10/12/1980;1200;0;;16.4;;;;;;
83842;15/12/1980;0000;;27.6;;12.1;5.7;21.86;51.75;3.2;
83842;15/12/1980;1200;0;;15.6;;;;;;
83842;16/12/1980;0000;;29.1;;12.8;7.9;22.78;55;6.166667;
83842;16/12/1980;1200;0;;17.7;;;;;;
83842;17/12/1980;0000;;30.8;;11;7.7;24.04;62.25;2.9;
83842;17/12/1980;1200;0;;17.5;;;;;;
83842;23/12/1980;0000;;21.6;;0;1;18.2;89.5;2;
83842;23/12/1980;1200;5.1;;15.3;;;;;;
83842;24/12/1980;0000;;24.2;;1.2;1;19.84;86.5;1.8;
83842;24/12/1980;1200;0;;17.1;;;;;;
83842;25/12/1980;0000;;26.6;;6.2;1.4;19.94;82;2.333333;
83842;25/12/1980;1200;12.7;;16.7;;;;;;
83842;26/12/1980;0000;;24.2;;8.1;2.1;19.66;81.25;3.633333;
83842;26/12/1980;1200;0.6;;16.8;;;;;;
83842;29/12/1980;0000;;27.7;;6.6;1.7;22.3;84;3.433333;
83842;29/12/1980;1200;1.7;;18.8;;;;;;
