--------------------
BDMEP - INMET
--------------------
Estação           : NATAL - RN (OMM: 82598)
Latitude  (graus) : -5.91
Longitude (graus) : -35.2
Altitude  (metros): 48.60
Estação Operante
Inicio de operação: 01/01/1911
Periodo solicitado dos dados: 01/01/1980 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82598;08/12/1983;0000;;29.8;;11.3;10.3;;;;
82598;08/12/1983;1200;0;;25.4;;;;;;
82598;09/12/1983;0000;;30.1;;11;8.7;27.38;77.5;5.466667;
82598;09/12/1983;1200;0;;25.3;;;;;;
82598;10/12/1983;0000;;29.4;;10.6;5.5;;;5.4;
82598;10/12/1983;1200;0;;25.6;;;;;;
82598;11/12/1983;0000;;30.4;;8;7.5;;;;
82598;11/12/1983;1200;0;;24.6;;;;;;
82598;12/12/1983;0000;;30.2;;9.4;7.7;27.56;85.75;5.533333;
82598;12/12/1983;1200;0;;25.8;;;;;;
82598;13/12/1983;0000;;29.8;;8.6;8.4;27.16;84.5;5.9;
82598;13/12/1983;1200;0;;25.6;;;;;;
82598;14/12/1983;0000;;30;;10.5;8.6;27.24;76.5;4.866667;
82598;14/12/1983;1200;0;;25.2;;;;;;
82598;15/12/1983;0000;;30;;10.4;8.3;27.38;84.5;5.3;
82598;15/12/1983;1200;0;;25.3;;;;;;
82598;16/12/1983;0000;;30.4;;9.9;7.6;27.6;84;5.533333;
82598;16/12/1983;1200;0;;25.7;;;;;;
82598;17/12/1983;0000;;30.4;;9.8;9.4;27.52;75.5;6.066667;
82598;17/12/1983;1200;1.1;;25.4;;;;;;
82598;18/12/1983;0000;;30.5;;10.6;10;26.96;81.75;6.4;
82598;18/12/1983;1200;4;;23.2;;;;;;
