,lab1,lab2,lab3,lab4,lab5,exe1,exe2,exe3,exe4,exe5
4187,6.0,6.6,10.0,8.0,10.0,2.666666666666667,2.388888888888889,4.0,3.75,3.75
4186,6.0,6.6,10.0,8.0,10.0,2.666666666666667,2.388888888888889,4.0,0.0,3.75
4188,10.0,10.0,,8.0,4.0,3.3333333333333335,2.777777777777778,2.0,3.75,1.25
4464,,,6.0,,10.0,,,2.666666666666667,0.625,3.125
4189,10.0,10.0,2.0,10.0,10.0,3.3333333333333335,2.777777777777778,4.0,3.125,6.25
4465,,,2.0,,,,,0.6666666666666667,,
4191,4.0,10.0,4.0,10.0,10.0,2.0,2.777777777777778,4.0,3.75,3.125
4190,4.0,10.0,4.0,10.0,10.0,2.0,2.777777777777778,4.0,7.5,3.125
4193,10.0,10.0,10.0,10.0,8.0,3.3333333333333335,6.111111111111112,10.0,1.25,4.375
4192,10.0,10.0,10.0,10.0,8.0,3.3333333333333335,6.111111111111112,10.0,6.25,4.375
4194,4.0,2.0,,,,1.3333333333333335,2.222222222222222,,,
4466,,,10.0,,10.0,,,4.0,0.625,3.125
4399,,2.0,2.0,,,,0.5555555555555555,1.3333333333333335,,
4467,,,4.0,,,,,2.666666666666667,,
4468,,,6.0,,,,,2.666666666666667,0.625,
4195,10.0,10.0,8.0,10.0,2.0,7.333333333333333,8.88888888888889,8.666666666666668,6.875,1.25
4196,10.0,10.0,8.0,10.0,2.0,7.333333333333333,8.88888888888889,8.666666666666668,6.25,1.25
4469,,,2.0,,8.0,,,2.0,,2.5
4470,,,6.0,,,,,4.666666666666666,,
4199,4.0,10.0,0.0,,,1.3333333333333335,2.777777777777778,0.22000000000000003,0.625,
4197,10.0,10.0,2.0,8.0,10.0,3.3333333333333335,2.777777777777778,3.3333333333333335,2.5,3.125
4198,10.0,9.6,10.0,6.0,10.0,10.0,8.777777777777777,5.333333333333334,6.25,10.0
4400,,2.0,6.0,,,,1.527777777777778,2.2199999999999998,,0.625
