"CIÊNCIA, TECNOLOGIA E SOCIEDADEnota",PRÁTICAS DE LEITURA E ESCRITA Inota,QUÍMICA GERALnota,CÁLCULO Inota,VETORES E GEOMETRIA ANALÍTICAnota,PRÉ-CÁLCULOnota,LÓGICA DE PROGRAMAÇÃOnota
-,5.40,2.00,-,0.00,-,-
-,5.40,2.00,-,0.00,-,-
5.70,5.70,5.10,5.00,1.70,5.00,5.50
9.00,7.90,8.70,6.80,5.00,2.10,8.80
10.00,8.30,8.40,5.50,5.70,5.70,6.50
5.50,6.00,2.30,5.00,5.60,5.50,8.50
5.30,5.60,5.00,1.00,1.40,7.40,9.70
7.00,6.50,6.90,6.50,5.70,8.00,6.60
6.30,7.50,5.30,5.80,2.80,5.00,-
8.60,7.30,5.20,6.10,6.10,5.40,5.30
5.10,5.60,6.30,5.50,0.10,5.00,1.80
5.80,6.10,6.10,7.80,7.70,6.20,9.30
7.30,7.40,7.10,8.40,7.20,7.80,8.60
5.20,6.50,6.40,6.30,5.10,7.80,9.70
6.00,6.70,5.30,4.20,3.50,1.90,8.40
7.50,6.80,3.30,5.30,6.80,6.40,1.20
5.10,7.20,5.60,2.10,0.50,4.20,0.40
5.60,6.00,5.00,6.40,5.70,5.70,7.60
6.20,7.20,5.30,1.70,5.70,8.30,9.20
6.30,6.30,5.10,6.30,6.20,8.70,2.30
8.00,6.00,1.10,1.00,6.10,5.00,1.00
2.20,5.50,2.70,5.30,3.30,5.30,3.00
9.30,7.40,7.10,9.60,10.00,9.40,8.40
6.90,6.20,5.00,6.20,7.60,8.40,7.20
6.40,6.80,5.80,0.00,6.00,6.50,7.90
5.90,5.60,5.50,6.20,5.70,5.20,5.70
5.70,5.80,6.70,6.70,5.50,5.80,0.20
9.10,7.20,5.80,8.10,7.00,6.20,8.70
6.90,4.00,4.40,0.40,0.80,5.60,-
5.00,5.40,5.30,6.50,6.00,5.40,5.70
6.10,5.50,6.00,7.30,9.80,9.50,9.70
8.30,7.70,8.00,9.70,10.00,9.70,9.20
8.80,7.20,6.80,5.00,5.30,7.00,-
6.80,7.20,5.40,5.80,5.70,9.20,6.50
6.30,6.70,7.60,6.40,2.80,8.90,1.10
7.50,6.40,5.90,5.90,7.20,8.60,2.30
5.00,6.20,5.00,5.00,6.00,6.20,4.20
4.10,6.50,5.30,4.20,5.10,6.80,5.10
5.90,7.20,5.00,3.70,5.20,7.30,8.60
8.80,6.50,8.10,0.20,5.10,8.00,6.60
5.50,6.30,6.50,5.20,5.70,6.50,9.10
8.60,7.50,7.40,9.20,9.80,9.10,6.40
5.30,5.10,5.10,2.70,5.80,8.60,5.00
5.90,7.10,7.20,5.70,6.30,8.90,7.50
5.00,6.40,5.40,2.50,5.20,8.30,4.40
6.00,5.30,1.90,5.50,6.50,8.00,10.00
6.30,6.70,5.20,0.50,6.30,8.30,9.20
6.10,7.70,8.70,9.70,10.00,9.90,9.30
6.60,7.10,6.30,5.50,2.40,7.50,3.60
5.10,6.10,4.40,0.50,3.70,5.00,6.00
7.10,5.90,5.00,5.60,6.50,7.80,6.70
6.60,6.20,6.90,5.60,5.10,7.20,-
6.00,5.40,6.20,1.50,-,-,2.00
8.20,6.50,8.80,5.50,7.60,7.30,6.70
0.50,0.40,1.40,0.00,0.00,0.00,0.70
8.90,6.90,7.00,6.00,5.40,7.50,7.10
5.00,6.50,5.30,2.50,5.70,7.20,5.50
5.50,6.30,5.00,0.50,5.60,6.90,6.30
5.00,5.80,5.00,3.00,5.10,5.60,5.00
7.10,5.80,7.40,6.80,8.20,8.00,0.00
7.90,6.90,8.00,9.00,9.50,9.20,9.60
6.70,6.90,7.40,6.80,7.20,7.50,-
7.50,6.90,5.50,6.30,5.50,5.50,6.70
6.90,6.80,8.10,5.50,5.00,5.00,1.00
6.80,7.30,7.00,2.30,8.70,6.40,6.50
5.30,6.60,5.00,0.30,4.20,6.70,7.20
4.80,6.50,5.00,0.00,2.60,6.00,4.10
6.20,6.20,3.70,3.90,3.80,6.10,8.60
8.30,7.00,5.90,5.40,5.10,2.20,1.60
8.00,7.50,8.00,10.00,8.00,9.70,9.80
3.20,5.80,2.10,5.00,3.80,6.20,8.20
-,6.00,5.00,3.00,5.50,5.00,8.20
7.20,7.60,8.40,7.30,5.60,9.70,8.00
7.70,8.30,3.00,6.80,5.20,6.30,9.40
8.10,7.10,5.30,7.00,8.90,8.90,6.10
7.40,6.50,8.30,8.20,9.00,8.70,7.40
7.10,6.20,7.00,3.00,7.90,8.60,7.00
5.20,5.20,2.80,0.50,1.50,6.00,-
7.30,5.00,1.50,0.50,1.00,0.00,5.90
6.00,7.00,6.90,1.00,8.40,8.30,7.40
5.70,7.20,5.50,5.10,0.60,6.10,1.40
5.50,6.10,5.00,0.30,7.50,7.50,7.70
9.40,8.20,7.70,8.50,10.00,9.80,7.70
6.00,7.20,7.20,5.20,7.00,8.20,7.60
6.20,5.70,5.10,4.60,5.20,6.90,5.50
6.20,6.50,5.10,5.30,1.50,6.90,3.30
8.50,6.80,6.50,8.90,9.20,7.90,7.00
6.50,6.00,4.20,5.80,5.00,7.70,3.00
5.00,6.60,5.80,5.10,1.50,5.00,3.10
9.60,6.60,5.60,5.40,7.70,8.40,8.50
7.20,6.70,6.60,7.80,8.10,10.00,10.00
2.20,6.10,5.90,5.20,5.00,6.00,0.70
8.00,5.40,3.30,4.60,3.90,5.00,0.00
3.60,6.70,5.10,5.20,3.80,5.30,8.70
6.60,6.40,6.10,3.50,5.00,6.50,6.50
4.80,5.60,6.70,1.30,5.30,7.50,1.80
8.80,5.60,6.60,7.50,7.30,8.00,1.50
5.50,7.30,5.80,6.00,5.00,8.70,5.20
8.30,5.90,4.30,1.70,2.30,6.30,6.50
9.50,7.70,5.00,3.10,5.20,3.20,-
7.20,5.20,8.10,5.90,5.80,6.70,7.80
